date,location,item_id,units_in_stock,units_sold,waste_units,stock_value,reorder_point
2024-11-01,Zurich,BEEF001,450,120,2,2025.00,250
2024-11-01,Zurich,BEEF002,200,45,0,1040.00,75
2024-11-01,Zurich,BUN001,600,165,8,450.00,300
2024-11-01,Zurich,CHEESE001,15,4,0,330.00,8
2024-11-01,Zurich,VEG001,80,25,3,96.00,40
2024-11-01,Zurich,VEG002,25,8,2,87.50,15
2024-11-01,Zurich,SAUCE001,12,3,0,96.00,8
2024-11-15,Zurich,BEEF001,380,135,3,1710.00,250
2024-11-15,Zurich,BEEF002,180,50,0,936.00,75
2024-11-15,Zurich,BUN001,550,180,10,412.50,300
2024-11-15,Zurich,CHEESE001,12,5,0,264.00,8
2024-11-15,Zurich,VEG001,75,28,4,90.00,40
2024-11-15,Zurich,VEG002,22,9,2,77.00,15
2024-11-15,Zurich,SAUCE001,10,4,0,80.00,8
2024-11-30,Zurich,BEEF001,420,140,2,1890.00,250
2024-11-30,Zurich,BEEF002,190,48,0,988.00,75
2024-11-30,Zurich,BUN001,580,175,7,435.00,300
2024-11-30,Zurich,CHEESE001,14,4,0,308.00,8
2024-11-30,Zurich,VEG001,85,22,3,102.00,40
2024-11-30,Zurich,VEG002,24,7,1,84.00,15
2024-11-30,Zurich,SAUCE001,11,3,0,88.00,8